LADCD,FRACD,YEAR
E09000008,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000009,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000010,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000011,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000012,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000013,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000014,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000015,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000016,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000187,E31000011,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000017,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000188,E31000011,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000018,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000019,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000020,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000189,E31000011,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000021,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000190,E31000011,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000022,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000023,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000191,E31000011,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000103,E31000019,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000022,E31000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000024,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000005,E31000013,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000240,E31000019,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000216,E31000035,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000023,E31000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000025,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000241,E31000019,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000047,E31000013,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000024,E31000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000026,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000217,E31000035,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000242,E31000019,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E09000027,E31000046,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000218,E31000036,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E06000025,E31000001,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
E07000243,E31000019,resources/data/fire_and_rescue_lookup/lad_fra_lut_2016_dec.csv
